,idUF,Mun,Est,Trab,Atv,Rend,idUFNum,Estado
369,43,00034,1,2,,,43,Rio Grande do Sul
370,43,00034,1,1,933,1500.0,43,Rio Grande do Sul
371,43,00034,3,2,,,43,Rio Grande do Sul
372,43,00034,5,2,,,43,Rio Grande do Sul
373,43,00034,5,2,,,43,Rio Grande do Sul
374,43,00034,5,2,,,43,Rio Grande do Sul
375,43,00034,1,2,,,43,Rio Grande do Sul
376,43,00034,1,1,532,600.0,43,Rio Grande do Sul
377,43,00034,5,2,,,43,Rio Grande do Sul
378,43,00034,1,1,613,250.0,43,Rio Grande do Sul
379,43,00034,1,1,613,510.0,43,Rio Grande do Sul
380,43,00034,5,2,,,43,Rio Grande do Sul
381,43,00034,5,1,612,510.0,43,Rio Grande do Sul
382,43,00034,,,,,43,Rio Grande do Sul
383,43,00034,5,1,921,500.0,43,Rio Grande do Sul
384,43,00034,4,2,,,43,Rio Grande do Sul
385,43,00034,5,1,921,500.0,43,Rio Grande do Sul
386,43,00034,5,2,,,43,Rio Grande do Sul
387,43,00034,5,2,,,43,Rio Grande do Sul
388,43,00034,1,1,833,800.0,43,Rio Grande do Sul
389,43,00034,1,2,,,43,Rio Grande do Sul
390,43,00034,1,1,612,1000.0,43,Rio Grande do Sul
391,43,00034,1,2,,,43,Rio Grande do Sul
392,43,00034,,,,,43,Rio Grande do Sul
393,43,00034,5,2,,,43,Rio Grande do Sul
394,43,00034,5,2,,,43,Rio Grande do Sul
395,43,00034,1,1,751,500.0,43,Rio Grande do Sul
396,43,00034,,,,,43,Rio Grande do Sul
397,43,00034,5,1,000,1200.0,43,Rio Grande do Sul
398,43,00034,1,1,000,100.0,43,Rio Grande do Sul
399,43,00034,5,1,000,400.0,43,Rio Grande do Sul
400,43,00034,,,,,43,Rio Grande do Sul
401,43,00034,,,,,43,Rio Grande do Sul
402,43,00034,4,2,,,43,Rio Grande do Sul
403,43,00034,2,2,,,43,Rio Grande do Sul
404,43,00034,5,2,,,43,Rio Grande do Sul
405,43,00034,5,2,,,43,Rio Grande do Sul
406,43,00034,5,2,,,43,Rio Grande do Sul
407,43,00034,,,,,43,Rio Grande do Sul
408,43,00034,5,2,,,43,Rio Grande do Sul
409,43,00034,5,1,711,1000.0,43,Rio Grande do Sul
410,43,00034,4,2,,,43,Rio Grande do Sul
411,43,00034,4,2,,,43,Rio Grande do Sul
412,43,00034,5,2,,,43,Rio Grande do Sul
413,43,00034,1,1,612,6000.0,43,Rio Grande do Sul
414,43,00034,1,1,612,6000.0,43,Rio Grande do Sul
415,43,00034,3,2,,,43,Rio Grande do Sul
416,43,00034,5,2,,,43,Rio Grande do Sul
417,43,00034,5,2,,,43,Rio Grande do Sul
418,43,00034,,,,,43,Rio Grande do Sul
419,43,00034,1,2,,,43,Rio Grande do Sul
420,43,00034,1,2,,,43,Rio Grande do Sul
421,43,00034,5,2,,,43,Rio Grande do Sul
422,43,00034,1,1,612,1200.0,43,Rio Grande do Sul
423,43,00034,1,1,612,300.0,43,Rio Grande do Sul
424,43,00034,5,2,,,43,Rio Grande do Sul
425,43,00034,4,2,,,43,Rio Grande do Sul
426,43,00034,,,,,43,Rio Grande do Sul
427,43,00034,1,1,921,100.0,43,Rio Grande do Sul
428,43,00034,1,2,611,,43,Rio Grande do Sul
429,43,00034,5,1,613,250.0,43,Rio Grande do Sul
430,43,00034,5,1,613,510.0,43,Rio Grande do Sul
431,43,00034,5,1,613,500.0,43,Rio Grande do Sul
432,43,00034,5,1,613,500.0,43,Rio Grande do Sul
433,43,00034,5,1,613,250.0,43,Rio Grande do Sul
434,43,00034,5,1,832,800.0,43,Rio Grande do Sul
435,43,00034,5,1,532,580.0,43,Rio Grande do Sul
436,43,00034,5,1,142,510.0,43,Rio Grande do Sul
437,43,00034,5,1,512,600.0,43,Rio Grande do Sul
438,43,00034,5,1,834,600.0,43,Rio Grande do Sul
439,43,00034,1,1,612,800.0,43,Rio Grande do Sul
440,43,00034,,,,,43,Rio Grande do Sul
441,43,00034,1,2,,,43,Rio Grande do Sul
442,43,00034,,,,,43,Rio Grande do Sul
443,43,00034,1,1,751,1217.0,43,Rio Grande do Sul
444,43,00034,5,2,,,43,Rio Grande do Sul
445,43,00034,5,2,,,43,Rio Grande do Sul
446,43,00034,1,1,612,15000.0,43,Rio Grande do Sul
447,43,00034,,,,,43,Rio Grande do Sul
